family,n,mismatch_scale,clip,ips,snips,dr,ips_low,ips_high,snips_low,snips_high,dr_low,dr_high
ope,500,0.5,0.01,0.1389465978475882,0.4969359401557031,0.4999431032903924,0.1298240416990251,0.1488410238391335,0.4699389968440701,0.5242818585880212,0.4719425497826257,0.5232031939886378
ope,500,0.5,0.0001,0.1389561692356785,0.49695017132277,0.4999429039864712,0.1292095771234434,0.1475708706734365,0.4718503541958009,0.522519677564668,0.4697986361799065,0.5224864354964582
ope,500,0.5,1e-06,0.1389561692356785,0.49695017132277,0.4999429039864712,0.1291347581723856,0.149373716051562,0.4695950944446028,0.5242898405313433,0.4742764514748209,0.5257526906939006
ope,500,0.5,0.001,0.1389561692356785,0.49695017132277,0.4999429039864712,0.1277245693181825,0.1492481346449326,0.4657361585589858,0.5220591455726753,0.4763407806388545,0.5246209984004933
ope,500,0.5,0.05,0.1388610194285379,0.4969365030022448,0.4999423637043212,0.1291259784827464,0.149404462264962,0.466666580552636,0.5191077267111004,0.4720236014525131,0.5211392034982415
ope,500,0.5,0.1,0.1381102394015068,0.4967399713363199,0.4999418712927304,0.1287132713092448,0.1473472372998185,0.4656372691853692,0.5226395335473358,0.4716867275132945,0.5227739300457412
ope,5000,2.0,0.1,0.9988553157064636,0.4971480069631346,0.4991087437073994,0.979834822575456,1.0184352290042786,0.4878569870946712,0.5053268510492663,0.4896770297968091,0.5060997795360072
ope,5000,2.0,0.05,1.058468792008264,0.4969026328747051,0.4989313421165446,1.0383771132811297,1.0767687173119995,0.4886302957361369,0.5046836990572883,0.4918321776466049,0.5065419528466406
ope,5000,2.0,0.01,1.0899123700766231,0.4975196202480464,0.4986549350820711,1.068261413274521,1.1144112755248097,0.4895407790562389,0.5061410494606517,0.4900871128925743,0.5074156767506136
ope,5000,2.0,0.001,1.0932428827084386,0.4970850094046798,0.498522051646223,1.0720576032875937,1.1118553342344646,0.4885226312848975,0.5035477159025884,0.4904104538932382,0.5071979155851218
ope,5000,2.0,0.0001,1.0932428827084386,0.4970850094046798,0.498522051646223,1.0685528999381442,1.1183799532115486,0.4891771344073913,0.5077024372457223,0.491651127200443,0.5068816932350182
ope,5000,2.0,1e-06,1.0932428827084386,0.4970850094046798,0.498522051646223,1.0705609005905954,1.1173972809733954,0.4899210479824622,0.5052339560643996,0.4902741668285433,0.5076169495587726
ope,500,2.0,0.1,1.010425660355505,0.498179126443347,0.4977771181152677,0.9522112545740508,1.0660659237276584,0.4723928861361356,0.5187361712101345,0.4714302842358853,0.5248658392522982
ope,500,2.0,0.05,1.0815524110447965,0.4978821769950297,0.4971670758420035,1.0193661083227334,1.141471634871163,0.4745065468118544,0.5237735508904038,0.4746150791769472,0.5208346629825323
ope,500,2.0,1e-06,1.1341198994026755,0.4962134578409088,0.4964443912209565,1.0561899701788564,1.2053443774552444,0.4680204174661662,0.5228402402450787,0.4703993937441318,0.5183885177872576
ope,500,2.0,0.001,1.1341198994026755,0.4962134578409088,0.4964443912209565,1.0590131955683793,1.2310799126741554,0.4682916238358843,0.5330037104750996,0.4711859601345087,0.5220727295014908
ope,500,2.0,0.0001,1.1341198994026755,0.4962134578409088,0.4964443912209565,1.050329557679388,1.2237996876224888,0.468446403257675,0.5282728366975727,0.4725067400266714,0.5208780593129939
ope,5000,1.0,0.0001,0.5031315801770057,0.5031315801770057,0.4962067047057741,0.4943853250099668,0.5113138895690297,0.4943853250099668,0.5113138895690297,0.4874132136809905,0.5056748907404859
ope,5000,1.0,0.001,0.5031315801770057,0.5031315801770057,0.4962067047057741,0.4945754398380652,0.5111875718572035,0.4945754398380652,0.5111875718572035,0.4888196124681714,0.5047031706025289
ope,5000,1.0,1e-06,0.5031315801770057,0.5031315801770057,0.4962067047057741,0.4951925856195084,0.511076590482691,0.4951925856195084,0.511076590482691,0.487912709646964,0.5052160111182581
ope,5000,1.0,0.01,0.5029750676774982,0.5030773608789126,0.4962016121982537,0.4938556895620803,0.5112679956227534,0.4939990550769934,0.5113264130396092,0.4892390986755603,0.5044065048226416
ope,500,2.0,0.01,1.130279487185424,0.4955988747349281,0.4961842047457826,1.0673518014576624,1.203299339188738,0.4700184876357403,0.5212655303242264,0.47054697403053,0.5252610226795775
