exp_name,family,method,lr,batch_size,seed,num_episodes,horizon,run_dir,avg_cumulative_reward
drr_lr0.002_bs64_s55,rl,drr,0.002,64,55,100,50,runs/drr_lr0.002_bs64_s55_20260309_185909,2.191317119805947
drr_lr0.002_bs64_s55,rl,drr,0.002,64,55,200,100,runs/drr_lr0.002_bs64_s55_20260309_185909,3.7657825507907114
drr_lr0.002_bs128_s11,rl,drr,0.002,128,11,50,20,runs/drr_lr0.002_bs128_s11_20260309_185914,1.0441132807118159
drr_lr0.002_bs128_s11,rl,drr,0.002,128,11,100,50,runs/drr_lr0.002_bs128_s11_20260309_185914,3.356682671224958
drr_lr0.002_bs128_s11,rl,drr,0.002,128,11,200,100,runs/drr_lr0.002_bs128_s11_20260309_185914,6.525708004448852
drr_lr0.002_bs128_s22,rl,drr,0.002,128,22,50,20,runs/drr_lr0.002_bs128_s22_20260309_185919,1.4591676095722772
drr_lr0.002_bs128_s22,rl,drr,0.002,128,22,100,50,runs/drr_lr0.002_bs128_s22_20260309_185919,3.517558318482969
drr_lr0.002_bs128_s22,rl,drr,0.002,128,22,200,100,runs/drr_lr0.002_bs128_s22_20260309_185919,8.25362667172505
drr_lr0.002_bs128_s33,rl,drr,0.002,128,33,50,20,runs/drr_lr0.002_bs128_s33_20260309_185924,1.0552545659791044
drr_lr0.002_bs128_s33,rl,drr,0.002,128,33,100,50,runs/drr_lr0.002_bs128_s33_20260309_185924,3.4515212047926003
drr_lr0.002_bs128_s33,rl,drr,0.002,128,33,200,100,runs/drr_lr0.002_bs128_s33_20260309_185924,6.5953410373694075
drr_lr0.002_bs128_s44,rl,drr,0.002,128,44,50,20,runs/drr_lr0.002_bs128_s44_20260309_185929,2.3917800134699068
drr_lr0.002_bs128_s44,rl,drr,0.002,128,44,100,50,runs/drr_lr0.002_bs128_s44_20260309_185929,5.758246539809663
drr_lr0.002_bs128_s44,rl,drr,0.002,128,44,200,100,runs/drr_lr0.002_bs128_s44_20260309_185929,12.802615925763659
drr_lr0.002_bs128_s55,rl,drr,0.002,128,55,50,20,runs/drr_lr0.002_bs128_s55_20260309_185933,0.589210528502961
drr_lr0.002_bs128_s55,rl,drr,0.002,128,55,100,50,runs/drr_lr0.002_bs128_s55_20260309_185933,2.1245653511058187
drr_lr0.002_bs128_s55,rl,drr,0.002,128,55,200,100,runs/drr_lr0.002_bs128_s55_20260309_185933,3.598903129040391
drr_lr0.002_bs256_s11,rl,drr,0.002,256,11,50,20,runs/drr_lr0.002_bs256_s11_20260309_185938,1.0253637649952623
drr_lr0.002_bs256_s11,rl,drr,0.002,256,11,100,50,runs/drr_lr0.002_bs256_s11_20260309_185938,3.3098088819335745
drr_lr0.002_bs256_s11,rl,drr,0.002,256,11,200,100,runs/drr_lr0.002_bs256_s11_20260309_185938,6.408523531220394
drr_lr0.002_bs256_s22,rl,drr,0.002,256,22,50,20,runs/drr_lr0.002_bs256_s22_20260309_185943,1.4622317806958764
drr_lr0.002_bs256_s22,rl,drr,0.002,256,22,100,50,runs/drr_lr0.002_bs256_s22_20260309_185943,3.4086539955427457
drr_lr0.002_bs256_s22,rl,drr,0.002,256,22,200,100,runs/drr_lr0.002_bs256_s22_20260309_185943,7.745100580163837
drr_lr0.002_bs256_s33,rl,drr,0.002,256,33,50,20,runs/drr_lr0.002_bs256_s33_20260309_185948,1.2604999328131266
drr_lr0.002_bs256_s33,rl,drr,0.002,256,33,100,50,runs/drr_lr0.002_bs256_s33_20260309_185948,3.5923019439416173
drr_lr0.002_bs256_s33,rl,drr,0.002,256,33,200,100,runs/drr_lr0.002_bs256_s33_20260309_185948,6.016461190401845
drr_lr0.002_bs256_s44,rl,drr,0.002,256,44,50,20,runs/drr_lr0.002_bs256_s44_20260309_185953,2.2627749300334385
drr_lr0.002_bs256_s44,rl,drr,0.002,256,44,100,50,runs/drr_lr0.002_bs256_s44_20260309_185953,5.435733831218492
drr_lr0.002_bs256_s44,rl,drr,0.002,256,44,200,100,runs/drr_lr0.002_bs256_s44_20260309_185953,11.996334154285732
drr_lr0.002_bs256_s55,rl,drr,0.002,256,55,50,20,runs/drr_lr0.002_bs256_s55_20260309_185958,0.4259348352143529
drr_lr0.002_bs256_s55,rl,drr,0.002,256,55,100,50,runs/drr_lr0.002_bs256_s55_20260309_185958,1.5122815012735389
drr_lr0.002_bs256_s55,rl,drr,0.002,256,55,200,100,runs/drr_lr0.002_bs256_s55_20260309_185958,2.5784300459865914
